Human_Readable_Topic,update_date,Categories
Continual Learning for Image Segmentation,2024-10-10,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-10-10,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-10-10,Applications and Use Cases
Detecting AI-Generated Texts,2024-10-10,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-10-10,Evaluation and Benchmarks
Intelligent Agents and Multi-Agent Systems in AI,2024-11-19,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-11-19,Societal Impacts and Ethics
Video Understanding with Large Multimodal Models,2024-10-10,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-11-07,Applications and Use Cases
Mathematical Proof Formalization with AI,2024-11-07,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-10-24,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-10-10,Learning Paradigms
Skeleton-based Action Recognition,2024-10-22,Applications and Use Cases
Molecular and Protein Representation Learning,2024-10-10,Core Models and Architectures
Molecular and Protein Representation Learning,2024-10-10,Applications and Use Cases
Causal Analysis with Large Language Models,2024-10-10,Core Models and Architectures
Causal Analysis with Large Language Models,2024-10-10,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-10,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-10,Core Models and Architectures
Watermarking Techniques for Large Language Models,2024-10-10,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-10,Core Models and Architectures
Video Understanding with Large Multimodal Models,2024-10-10,Applications and Use Cases
Quantum Machine Learning and Neural Networks,2024-10-31,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2024-10-31,Infrastructure and Tools
Merging Large Language Models for Enhanced Expertise,2024-10-29,Core Models and Architectures
Merging Large Language Models for Enhanced Expertise,2024-10-29,Learning Paradigms
Speculative Decoding for Large Language Models,2024-10-10,Core Models and Architectures
Speculative Decoding for Large Language Models,2024-10-10,Optimization Techniques
Large Language Models in Social Simulations and Cooperation,2024-10-10,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-10-10,Societal Impacts and Ethics
Patent Analysis and Retrieval Systems,2024-10-10,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-10-10,Infrastructure and Tools
Machine Translation with Large Language Models,2024-10-10,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-10-17,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-10-17,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-30,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-30,Optimization Techniques
Large Language Models for Planning Tasks,2024-10-11,Applications and Use Cases
Large Language Model Security Vulnerabilities and Attacks,2024-10-11,Societal Impacts and Ethics
Large Language Model Security Vulnerabilities and Attacks,2024-10-11,Evaluation and Benchmarks
Large Language Models for Planning Tasks,2024-10-15,Applications and Use Cases
Text Summarization with Large Language Models,2024-10-11,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-11,Learning Paradigms
Knowledge Graph Completion Methods,2024-10-11,Core Models and Architectures
Knowledge Graph Completion Methods,2024-10-11,Learning Paradigms
Legal Language Models Evaluation,2024-10-11,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-11,Applications and Use Cases
Large Language Model Safety Evaluation,2024-11-18,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-11-18,Evaluation and Benchmarks
Reinforcement Learning with Large Language Models,2024-10-11,Learning Paradigms
Large Language Models in Healthcare Applications,2024-10-11,Applications and Use Cases
Adversarial Attacks on Language Models,2024-10-11,Societal Impacts and Ethics
Adversarial Attacks on Language Models,2024-10-11,Evaluation and Benchmarks
Financial NLP and Large Language Models,2024-10-11,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-10-14,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-10-14,Learning Paradigms
Logical Reasoning with Large Language Models,2024-10-11,Core Models and Architectures
Logical Reasoning with Large Language Models,2024-10-11,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-10-11,Learning Paradigms
Machine Unlearning in Large Language Models,2024-11-22,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-11-22,Optimization Techniques
Machine Translation with Large Language Models,2024-10-11,Applications and Use Cases
Tool Learning with Large Language Models,2024-10-11,Learning Paradigms
Tool Learning with Large Language Models,2024-10-11,Core Models and Architectures
Electroencephalogram Analysis and Modeling,2024-10-14,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-10-14,Applications and Use Cases
Audio Encode and Voice Conversion Models,2024-10-14,Core Models and Architectures
Audio Encode and Voice Conversion Models,2024-10-14,Applications and Use Cases
Scaling Laws in Large Language Models,2024-10-14,Core Models and Architectures
Video Understanding with Large Multimodal Models,2024-10-14,Applications and Use Cases
Gender Bias in Large Language Models,2024-10-14,Societal Impacts and Ethics
Legal Language Models Evaluation,2024-10-14,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-14,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-10-14,Applications and Use Cases
Autonomous Driving Technologies,2024-10-14,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-10-14,Applications and Use Cases
Multilingual Language Model Transfer,2024-10-18,Core Models and Architectures
Multilingual Language Model Transfer,2024-10-18,Learning Paradigms
Natural Language Processing Models and Synthetic Data,2024-10-14,Core Models and Architectures
Natural Language Processing Models and Synthetic Data,2024-10-14,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-10-14,Applications and Use Cases
Large Language Models in Social Simulations and Cooperation,2024-10-14,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-10-14,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-10-14,Evaluation and Benchmarks
Knowledge Graph-based Question Answering,2024-10-22,Applications and Use Cases
Metaphor Understanding and Generation,2024-10-14,Applications and Use Cases
Metaphor Understanding and Generation,2024-10-14,Learning Paradigms
Molecular and Protein Representation Learning,2024-10-14,Core Models and Architectures
Molecular and Protein Representation Learning,2024-10-14,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-10-15,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-10-15,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-10-15,Applications and Use Cases
Legal Language Models Evaluation,2024-10-15,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-15,Applications and Use Cases
Reinforcement Learning with Large Language Models,2024-10-28,Learning Paradigms
Detecting AI-Generated Texts,2024-10-15,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-10-15,Evaluation and Benchmarks
AI-powered Tutoring in Programming Education,2024-10-15,Applications and Use Cases
Knowledge Editing in Large Language Models,2024-10-15,Core Models and Architectures
Knowledge Editing in Large Language Models,2024-10-15,Applications and Use Cases
Long-Context Language Model Evaluation,2024-10-15,Evaluation and Benchmarks
Long-Context Language Model Evaluation,2024-10-15,Core Models and Architectures
Smart Contract Vulnerability Detection,2024-11-05,Applications and Use Cases
Optimizing KV Cache for Large Language Models,2024-10-15,Optimization Techniques
Optimizing KV Cache for Large Language Models,2024-10-15,Infrastructure and Tools
Dialogue Systems and Conversational AI,2024-10-15,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-10-15,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-15,Optimization Techniques
Logical Reasoning with Large Language Models,2024-10-25,Core Models and Architectures
Logical Reasoning with Large Language Models,2024-10-25,Learning Paradigms
Commonsense Knowledge in Large Language Models,2024-10-15,Core Models and Architectures
Commonsense Knowledge in Large Language Models,2024-10-15,Learning Paradigms
Large Language Models in Healthcare Applications,2024-10-15,Applications and Use Cases
Agricultural Applications of AI and Large Models,2024-10-15,Applications and Use Cases
Personalized Recommendation Systems,2024-10-30,Applications and Use Cases
Graph Learning with Large Language Models,2024-11-12,Core Models and Architectures
Graph Learning with Large Language Models,2024-11-12,Learning Paradigms
Temporal Event Forecasting and Reasoning,2024-10-15,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-10-15,Learning Paradigms
Multilingual Language Model Transfer,2024-10-15,Core Models and Architectures
Multilingual Language Model Transfer,2024-10-15,Learning Paradigms
Code Hallucinations in Large Language Models,2024-10-15,Core Models and Architectures
Code Hallucinations in Large Language Models,2024-10-15,Societal Impacts and Ethics
Large Language Models in Healthcare Applications,2024-10-15,Applications and Use Cases
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-15,Learning Paradigms
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-15,Optimization Techniques
Reinforcement Learning from Human Feedback,2024-10-22,Learning Paradigms
Jailbreak Attacks on Large Language Models,2024-10-15,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-10-15,Evaluation and Benchmarks
Diffusion Models for Text-Guided Image Generation and Editing,2024-10-15,Applications and Use Cases
Reinforcement Learning with Large Language Models,2024-10-15,Learning Paradigms
Multilingual Fact-Checking and Evidence Retrieval,2024-10-15,Applications and Use Cases
Multilingual Fact-Checking and Evidence Retrieval,2024-10-15,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-10-15,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-10-15,Evaluation and Benchmarks
Jailbreak Attacks on Large Language Models,2024-10-15,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-10-15,Evaluation and Benchmarks
Mixture of Experts (MoE) for Large Language Models,2024-10-16,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2024-10-16,Optimization Techniques
Machine Translation with Large Language Models,2024-03-07,Applications and Use Cases
Evolutionary Algorithms with Large Language Models,2024-03-08,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-03-08,Optimization Techniques
Radiology Report Generation with Multimodal Models,2024-08-16,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-08-14,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-08-14,Infrastructure and Tools
Log Parsing and Analysis Techniques,2024-03-08,Applications and Use Cases
